"","Sample","PC1","PC2","PC3","PC4","PC5","PC6","PC7","Population","Cohort","X1.x","X2.x","X1.y","X2.y"
"670","HG00127",-0.0167692206880236,-0.00442600782424683,-0.0143219679439564,0.000896791511525581,-0.0175083853968476,0.0016471888208851,0.0175831578440613,"GBR","EUR",2.37550690767782,-3.93103178791957,2.37550690767782,-3.93103178791957
"671","HG00128",-0.0169774473130441,-0.00284284482137919,-0.00787267268050747,9.32235986192788e-05,-0.0201981261304344,0.00360058671899937,-0.0221260117276543,"GBR","EUR",1.65812144288437,-2.25938648654048,1.65812144288437,-2.25938648654048
"672","HG00129",-0.0168962822900947,-0.00549924972835778,-0.00623745164703506,0.00189275460004625,-0.0245943211713503,0.0291345710804839,-0.0179551627000906,"GBR","EUR",3.01257127299918,-1.94376009473173,3.01257127299918,-1.94376009473173
"673","HG00130",-0.0168889452149534,-0.0036934036130125,-0.00792526560500887,0.000599514485188218,-0.028670469249115,0.0275195017573638,-0.0229421418149764,"GBR","EUR",2.09120910694886,-2.39396753743856,2.09120910694886,-2.39396753743856
"674","HG00131",-0.0169514397752379,-0.00269246104581783,-0.00844608286963689,0.00224745789750569,-0.0166159196014088,-0.0246493096148562,0.0222573030648139,"GBR","EUR",1.63300055649474,-2.55212903139661,1.63300055649474,-2.55212903139661
"675","HG00132",-0.0168695846585064,-0.00474180988320688,-0.00532976273222607,0.00635892254120812,-0.0225867524406645,0.0232381404347961,0.0312839215059543,"GBR","EUR",2.64752897536292,-1.77497680873961,2.64752897536292,-1.77497680873961
"676","HG00133",-0.0167799337506809,-0.0022149000423644,-0.0122679603644898,-0.00304425365278983,-0.0257126094142643,-0.00254631733253399,0.0197632706539804,"GBR","EUR",1.37627346242479,-3.68619199681534,1.37627346242479,-3.68619199681534
"677","HG00136",-0.0168979779242123,-0.00180461341777309,-0.00754173901224218,-2.63755497341838e-05,-0.0205106435032562,-0.0245904592958247,0.0249144962699156,"GBR","EUR",1.17395596973948,-2.34519901747704,1.17395596973948,-2.34519901747704
"678","HG00137",-0.0168069243946093,-0.0043563350099276,-0.00713154017032942,0.00397360977979657,-0.0188098088884294,0.0241417000225503,0.0321062089017395,"GBR","EUR",2.31014303978006,-1.95333309920641,2.31014303978006,-1.95333309920641
"679","HG00138",-0.0169372989839808,-0.00251658065672195,-0.0119187339796006,-0.00112861992148868,-0.0246676123084401,0.00240821904764099,-0.0260052652983897,"GBR","EUR",1.4861975715858,-3.36475604035393,1.4861975715858,-3.36475604035393
"680","HG00139",-0.0168662064848588,-0.0046155424367338,-0.00933488135754157,0.00184335076974429,-0.0307670765695282,0.0272272060052932,-0.0064199510882372,"GBR","EUR",2.49242996809328,-2.64055325463661,2.49242996809328,-2.64055325463661
